

|yearQuarter |state | totalRX|
|2017 Q2     |CT    |    3542|
|2017 Q3     |CT    |    3525|
|2017 Q4     |CT    |    3814|
|2018 Q1     |CT    |    3958|
|2018 Q2     |CT    |    4102|
|2018 Q3     |CT    |    3867|
|2018 Q4     |CT    |    4153|
|2019 Q1     |CT    |    4427|
|2019 Q2     |CT    |    4394|
|2019 Q3     |CT    |    4270|
|2019 Q4     |CT    |    4123|
|2020 Q1     |CT    |    4155|
|2020 Q2     |CT    |    3505|
|2020 Q3     |CT    |    3442|
|2020 Q4     |CT    |    3522|
|2021 Q1     |CT    |    3776|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |DC    |     152|
|2012 Q2     |DC    |     345|
|2012 Q3     |DC    |     287|
|2012 Q4     |DC    |     210|
|2013 Q1     |DC    |     261|
|2013 Q2     |DC    |     268|
|2013 Q3     |DC    |     221|
|2013 Q4     |DC    |     239|
|2014 Q1     |DC    |     255|
|2014 Q2     |DC    |     279|
|2014 Q3     |DC    |     273|
|2014 Q4     |DC    |     250|
|2015 Q1     |DC    |     264|
|2015 Q2     |DC    |     234|
|2015 Q3     |DC    |     277|
|2015 Q4     |DC    |     298|
|2016 Q1     |DC    |     271|
|2016 Q2     |DC    |     258|
|2016 Q3     |DC    |     212|
|2016 Q4     |DC    |     352|
|2017 Q1     |DC    |     380|
|2017 Q2     |DC    |     376|
|2017 Q3     |DC    |     363|
|2017 Q4     |DC    |     421|
|2018 Q1     |DC    |     462|
|2018 Q2     |DC    |     458|
|2018 Q3     |DC    |     377|
|2018 Q4     |DC    |     457|
|2019 Q1     |DC    |     575|
|2019 Q2     |DC    |     575|
|2019 Q3     |DC    |     597|
|2019 Q4     |DC    |     595|
|2020 Q1     |DC    |     589|
|2020 Q2     |DC    |     463|
|2020 Q3     |DC    |     466|
|2020 Q4     |DC    |     340|
|2021 Q1     |DC    |     312|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |DE    |      26|
|2012 Q2     |DE    |      78|
|2012 Q3     |DE    |      60|
|2012 Q4     |DE    |      50|
|2013 Q1     |DE    |      19|
|2013 Q2     |DE    |      37|
|2013 Q3     |DE    |      52|
|2013 Q4     |DE    |      61|
|2014 Q1     |DE    |      47|
|2014 Q2     |DE    |      43|
|2014 Q3     |DE    |      75|
|2014 Q4     |DE    |      59|
|2015 Q1     |DE    |     132|
|2015 Q2     |DE    |      47|
|2015 Q3     |DE    |      48|
|2015 Q4     |DE    |      20|
|2016 Q1     |DE    |      16|
|2016 Q3     |DE    |      14|
|2016 Q4     |DE    |      16|
|2017 Q1     |DE    |      12|
|2017 Q2     |DE    |      17|
|2018 Q1     |DE    |      91|
|2018 Q3     |DE    |     173|
|2018 Q4     |DE    |     173|
|2019 Q1     |DE    |     231|
|2019 Q2     |DE    |     268|
|2019 Q3     |DE    |     262|
|2019 Q4     |DE    |     266|
|2020 Q1     |DE    |     347|
|2020 Q2     |DE    |     251|
|2020 Q3     |DE    |     336|
|2020 Q4     |DE    |     325|
|2021 Q1     |DE    |     273|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q3     |FL    |     422|
|2012 Q4     |FL    |     683|
|2013 Q1     |FL    |    1153|
|2013 Q2     |FL    |    1585|
|2013 Q3     |FL    |    1367|
|2013 Q4     |FL    |    1426|
|2014 Q1     |FL    |    1351|
|2014 Q2     |FL    |    1356|
|2014 Q3     |FL    |    2139|
|2014 Q4     |FL    |    2510|
|2015 Q1     |FL    |    2623|
|2015 Q2     |FL    |    2614|
|2015 Q3     |FL    |    2686|
|2015 Q4     |FL    |    2543|
|2016 Q1     |FL    |    2775|
|2016 Q2     |FL    |    3169|
|2016 Q3     |FL    |    2996|
|2016 Q4     |FL    |    3686|
|2017 Q1     |FL    |    3203|
|2017 Q2     |FL    |    4076|
|2017 Q3     |FL    |    3568|
|2017 Q4     |FL    |    3837|
|2018 Q1     |FL    |    4177|
|2018 Q2     |FL    |    4112|
|2018 Q3     |FL    |    4164|
|2018 Q4     |FL    |    4202|
|2019 Q1     |FL    |    4045|
|2019 Q2     |FL    |    4304|
|2019 Q3     |FL    |    4061|
|2019 Q4     |FL    |    3680|
|2020 Q1     |FL    |    3589|
|2020 Q2     |FL    |    2948|
|2020 Q3     |FL    |    2881|
|2020 Q4     |FL    |    2737|
|2021 Q1     |FL    |    2811|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q4     |GA    |      19|
|2014 Q2     |GA    |      14|
|2015 Q1     |GA    |      27|
|2015 Q2     |GA    |      14|
|2015 Q3     |GA    |      15|
|2016 Q1     |GA    |      44|
|2016 Q2     |GA    |      91|
|2016 Q3     |GA    |     115|
|2016 Q4     |GA    |      90|
|2017 Q1     |GA    |     130|
|2017 Q2     |GA    |     103|
|2017 Q3     |GA    |     380|
|2017 Q4     |GA    |     307|
|2018 Q1     |GA    |     459|
|2018 Q2     |GA    |     525|
|2018 Q3     |GA    |    1236|
|2018 Q4     |GA    |    1241|
|2019 Q1     |GA    |    1424|
|2019 Q2     |GA    |    1360|
|2019 Q3     |GA    |    1404|
|2019 Q4     |GA    |    1170|
|2020 Q1     |GA    |    1247|
|2020 Q2     |GA    |    1035|
|2020 Q3     |GA    |    1018|
|2020 Q4     |GA    |     993|
|2021 Q1     |GA    |     999|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |HI    |      22|
|2012 Q2     |HI    |     249|
|2012 Q3     |HI    |     283|
|2012 Q4     |HI    |     287|
|2013 Q1     |HI    |     276|
|2013 Q2     |HI    |     255|
|2013 Q3     |HI    |     138|
|2013 Q4     |HI    |     184|
|2014 Q1     |HI    |     263|
|2014 Q2     |HI    |     251|
|2014 Q3     |HI    |     225|
|2014 Q4     |HI    |     258|
|2015 Q1     |HI    |     266|
|2015 Q2     |HI    |     269|
|2015 Q3     |HI    |     272|
|2015 Q4     |HI    |     283|
|2016 Q1     |HI    |     291|
|2016 Q2     |HI    |     314|
|2016 Q3     |HI    |     231|
|2016 Q4     |HI    |     301|
|2017 Q1     |HI    |     359|
|2017 Q2     |HI    |     360|
|2017 Q3     |HI    |     290|
|2017 Q4     |HI    |     272|
|2018 Q1     |HI    |     377|
|2018 Q2     |HI    |     351|
|2018 Q3     |HI    |     289|
|2018 Q4     |HI    |     334|
|2019 Q1     |HI    |     393|
|2019 Q2     |HI    |     321|
|2019 Q3     |HI    |     302|
|2019 Q4     |HI    |     274|
|2020 Q1     |HI    |     291|
|2020 Q2     |HI    |     237|
|2020 Q3     |HI    |     281|
|2020 Q4     |HI    |     320|
|2021 Q1     |HI    |     301|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |IA    |     100|
|2012 Q2     |IA    |     456|
|2012 Q3     |IA    |     471|
|2012 Q4     |IA    |     545|
|2013 Q1     |IA    |     580|
|2013 Q2     |IA    |     668|
|2013 Q3     |IA    |     607|
|2013 Q4     |IA    |     559|
|2014 Q1     |IA    |     724|
|2014 Q2     |IA    |    1136|
|2014 Q3     |IA    |     887|
|2014 Q4     |IA    |     844|
|2015 Q1     |IA    |     974|
|2015 Q2     |IA    |    1054|
|2015 Q3     |IA    |     900|
|2015 Q4     |IA    |     987|
|2016 Q1     |IA    |     890|
|2016 Q2     |IA    |    1137|
|2016 Q3     |IA    |     510|
|2016 Q4     |IA    |     517|
|2017 Q1     |IA    |     621|
|2017 Q2     |IA    |     777|
|2017 Q3     |IA    |     790|
|2017 Q4     |IA    |     567|
|2018 Q1     |IA    |     456|
|2018 Q2     |IA    |     442|
|2018 Q3     |IA    |     444|
|2018 Q4     |IA    |     408|
|2019 Q1     |IA    |     359|
|2019 Q2     |IA    |     827|
|2019 Q3     |IA    |    1082|
|2019 Q4     |IA    |    1067|
|2020 Q1     |IA    |    1036|
|2020 Q2     |IA    |     758|
|2020 Q3     |IA    |    2177|
|2020 Q4     |IA    |    2304|
|2021 Q1     |IA    |    1949|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2014 Q2     |ID    |      12|
|2014 Q3     |ID    |      14|
|2014 Q4     |ID    |      12|
|2015 Q1     |ID    |      27|
|2015 Q2     |ID    |      43|
|2015 Q3     |ID    |      46|
|2015 Q4     |ID    |      54|
|2016 Q1     |ID    |      75|
|2016 Q2     |ID    |      96|
|2016 Q3     |ID    |     110|
|2016 Q4     |ID    |     169|
|2017 Q1     |ID    |     215|
|2017 Q2     |ID    |     235|
|2017 Q3     |ID    |     192|
|2017 Q4     |ID    |     231|
|2018 Q1     |ID    |     261|
|2018 Q2     |ID    |     260|
|2018 Q3     |ID    |     227|
|2018 Q4     |ID    |     313|
|2019 Q1     |ID    |     281|
|2019 Q2     |ID    |     369|
|2019 Q3     |ID    |     351|
|2019 Q4     |ID    |     336|
|2020 Q1     |ID    |     815|
|2020 Q2     |ID    |     972|
|2020 Q3     |ID    |     993|
|2020 Q4     |ID    |     916|
|2021 Q1     |ID    |    1041|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |IL    |     893|
|2012 Q2     |IL    |    1800|
|2012 Q3     |IL    |    6062|
|2012 Q4     |IL    |    3387|
|2013 Q1     |IL    |    2821|
|2013 Q2     |IL    |    3191|
|2013 Q3     |IL    |    2010|
|2013 Q4     |IL    |    2305|
|2014 Q1     |IL    |    2329|
|2014 Q2     |IL    |    4254|
|2014 Q3     |IL    |    3211|
|2014 Q4     |IL    |    3092|
|2015 Q1     |IL    |    2402|
|2015 Q2     |IL    |    1906|
|2015 Q3     |IL    |    3564|
|2015 Q4     |IL    |    4086|
|2016 Q1     |IL    |    4065|
|2016 Q2     |IL    |    3697|
|2016 Q3     |IL    |    3593|
|2016 Q4     |IL    |    3698|
|2017 Q1     |IL    |    4837|
|2017 Q2     |IL    |    3552|
|2017 Q3     |IL    |    3414|
|2017 Q4     |IL    |    3573|
|2018 Q1     |IL    |    3996|
|2018 Q2     |IL    |    3584|
|2018 Q3     |IL    |    3226|
|2018 Q4     |IL    |    3181|
|2019 Q1     |IL    |    3640|
|2019 Q2     |IL    |    3912|
|2019 Q3     |IL    |    4369|
|2019 Q4     |IL    |    4010|
|2020 Q1     |IL    |    5711|
|2020 Q2     |IL    |    4596|
|2020 Q3     |IL    |    5038|
|2020 Q4     |IL    |    4841|
|2021 Q1     |IL    |    3824|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |IN    |     842|
|2012 Q2     |IN    |    2162|
|2012 Q3     |IN    |    2221|
|2012 Q4     |IN    |    2402|
|2013 Q1     |IN    |    2595|
|2013 Q2     |IN    |    2281|
|2013 Q3     |IN    |    2319|
|2013 Q4     |IN    |    2370|
|2014 Q1     |IN    |    2083|
|2014 Q2     |IN    |    2578|
|2014 Q3     |IN    |    2565|
|2014 Q4     |IN    |    2281|
|2015 Q1     |IN    |    1782|
|2015 Q2     |IN    |    3262|
|2015 Q3     |IN    |    4036|
|2015 Q4     |IN    |    4620|
|2016 Q1     |IN    |    4722|
|2016 Q2     |IN    |    5194|
|2016 Q3     |IN    |    3573|
|2016 Q4     |IN    |    3559|
|2017 Q1     |IN    |    4154|
|2017 Q2     |IN    |    5085|
|2017 Q3     |IN    |    3873|
|2017 Q4     |IN    |    4256|
|2018 Q1     |IN    |    4498|
|2018 Q2     |IN    |    4774|
|2018 Q3     |IN    |    4795|
|2018 Q4     |IN    |    4724|
|2019 Q1     |IN    |    5498|
|2019 Q2     |IN    |    6538|
|2019 Q3     |IN    |    6540|
|2019 Q4     |IN    |    6471|
|2020 Q1     |IN    |    6556|
|2020 Q2     |IN    |    5845|
|2020 Q3     |IN    |    6692|
|2020 Q4     |IN    |    6836|
|2021 Q1     |IN    |    5947|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |KS    |      89|
|2012 Q2     |KS    |     448|
|2012 Q3     |KS    |     476|
|2012 Q4     |KS    |     480|
|2013 Q1     |KS    |      31|
|2013 Q4     |KS    |     463|
|2014 Q1     |KS    |     747|
|2014 Q2     |KS    |    2437|
|2014 Q3     |KS    |     689|
|2014 Q4     |KS    |    1068|
|2015 Q1     |KS    |     838|
|2015 Q2     |KS    |     561|
|2015 Q3     |KS    |     420|
|2015 Q4     |KS    |     712|
|2016 Q1     |KS    |     972|
|2016 Q2     |KS    |     299|
|2016 Q3     |KS    |     930|
|2016 Q4     |KS    |     590|
|2017 Q1     |KS    |     898|
|2017 Q2     |KS    |    1935|
|2017 Q3     |KS    |     812|
|2017 Q4     |KS    |     825|
|2018 Q1     |KS    |     887|
|2018 Q2     |KS    |     903|
|2018 Q3     |KS    |     977|
|2018 Q4     |KS    |     980|
|2019 Q1     |KS    |     985|
|2019 Q2     |KS    |    1028|
|2019 Q3     |KS    |     982|
|2019 Q4     |KS    |     894|
|2020 Q1     |KS    |     938|
|2020 Q2     |KS    |     845|
|2020 Q3     |KS    |     888|
|2020 Q4     |KS    |     794|
|2021 Q1     |KS    |     495|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |KY    |     406|
|2012 Q2     |KY    |     870|
|2012 Q3     |KY    |     810|
|2012 Q4     |KY    |     813|
|2013 Q1     |KY    |     266|
|2013 Q2     |KY    |     595|
|2013 Q3     |KY    |     247|
|2013 Q4     |KY    |      16|
|2014 Q1     |KY    |    1693|
|2014 Q2     |KY    |     890|
|2014 Q3     |KY    |     744|
|2014 Q4     |KY    |     648|
|2015 Q1     |KY    |     633|
|2015 Q2     |KY    |     496|
|2015 Q3     |KY    |     827|
|2015 Q4     |KY    |     114|
|2016 Q1     |KY    |     821|
|2016 Q2     |KY    |    1305|
|2016 Q3     |KY    |    2576|
|2016 Q4     |KY    |    3592|
|2017 Q1     |KY    |    4366|
|2017 Q2     |KY    |    4145|
|2017 Q3     |KY    |    5508|
|2017 Q4     |KY    |    6356|
|2018 Q1     |KY    |    7677|
|2018 Q2     |KY    |    7562|
|2018 Q3     |KY    |    8264|
|2018 Q4     |KY    |    7548|
|2019 Q1     |KY    |    7915|
|2019 Q2     |KY    |    7377|
|2019 Q3     |KY    |    7474|
|2019 Q4     |KY    |    6834|
|2020 Q1     |KY    |    7099|
|2020 Q2     |KY    |    5798|
|2020 Q3     |KY    |    6551|
|2020 Q4     |KY    |    6122|
|2021 Q1     |KY    |    3487|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |LA    |     345|
|2012 Q2     |LA    |     790|
|2012 Q3     |LA    |    1184|
|2012 Q4     |LA    |     918|
|2013 Q1     |LA    |     650|
|2013 Q2     |LA    |     484|
|2013 Q3     |LA    |     435|
|2013 Q4     |LA    |     372|
|2014 Q1     |LA    |     340|
|2014 Q2     |LA    |     344|
|2014 Q3     |LA    |     357|
|2014 Q4     |LA    |     189|
|2015 Q1     |LA    |     600|
|2015 Q2     |LA    |     564|
|2015 Q3     |LA    |     618|
|2015 Q4     |LA    |     781|
|2016 Q1     |LA    |     916|
|2016 Q2     |LA    |     940|
|2016 Q3     |LA    |    2036|
|2016 Q4     |LA    |    2496|
|2017 Q1     |LA    |    2558|
|2017 Q2     |LA    |    2815|
|2017 Q3     |LA    |    2704|
|2017 Q4     |LA    |    2916|
|2018 Q1     |LA    |    3058|
|2018 Q2     |LA    |    3408|
|2018 Q3     |LA    |    3535|
|2018 Q4     |LA    |    3164|
|2019 Q1     |LA    |    3139|
|2019 Q2     |LA    |    3426|
|2019 Q3     |LA    |    4173|
|2019 Q4     |LA    |    3878|
|2020 Q1     |LA    |    4177|
|2020 Q2     |LA    |    3315|
|2020 Q3     |LA    |    3445|
|2020 Q4     |LA    |    3376|
|2021 Q1     |LA    |    3398|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |MA    |    1027|
|2012 Q2     |MA    |    2534|
|2012 Q3     |MA    |    2211|
|2012 Q4     |MA    |    3136|
|2013 Q1     |MA    |    3358|
|2013 Q2     |MA    |    3799|
|2013 Q3     |MA    |    3420|
|2013 Q4     |MA    |    2881|
|2014 Q1     |MA    |    3458|
|2014 Q2     |MA    |    3963|
|2014 Q3     |MA    |    3569|
|2014 Q4     |MA    |    4315|
|2015 Q1     |MA    |    3606|
|2015 Q2     |MA    |    3942|
|2015 Q3     |MA    |    3122|
|2015 Q4     |MA    |    3566|
|2016 Q1     |MA    |    4026|
|2016 Q2     |MA    |    4353|
|2016 Q3     |MA    |    3952|
|2016 Q4     |MA    |    4505|
|2017 Q1     |MA    |    4309|
|2017 Q2     |MA    |    4776|
|2017 Q3     |MA    |    3981|
|2017 Q4     |MA    |    4002|
|2018 Q1     |MA    |    4411|
|2018 Q2     |MA    |    5276|
|2018 Q3     |MA    |    4819|
|2018 Q4     |MA    |    5507|
|2019 Q1     |MA    |    5290|
|2019 Q2     |MA    |    5973|
|2019 Q3     |MA    |    5186|
|2019 Q4     |MA    |    5807|
|2020 Q1     |MA    |    6108|
|2020 Q2     |MA    |    4979|
|2020 Q3     |MA    |    4998|
|2020 Q4     |MA    |    5290|
|2021 Q1     |MA    |    5272|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |MD    |     323|
|2012 Q2     |MD    |     806|
|2012 Q3     |MD    |     785|
|2012 Q4     |MD    |     947|
|2013 Q1     |MD    |     963|
|2013 Q2     |MD    |     989|
|2013 Q3     |MD    |     882|
|2013 Q4     |MD    |     910|
|2014 Q1     |MD    |    1115|
|2014 Q2     |MD    |    1510|
|2014 Q3     |MD    |    1381|
|2014 Q4     |MD    |    1469|
|2015 Q1     |MD    |     403|
|2015 Q2     |MD    |     603|
|2015 Q3     |MD    |     606|
|2015 Q4     |MD    |     503|
|2016 Q1     |MD    |     558|
|2016 Q2     |MD    |     643|
|2016 Q3     |MD    |     712|
|2016 Q4     |MD    |     783|
|2017 Q1     |MD    |    1001|
|2017 Q2     |MD    |    1157|
|2017 Q3     |MD    |    1524|
|2017 Q4     |MD    |    2954|
|2018 Q1     |MD    |    3211|
|2018 Q2     |MD    |    3220|
|2018 Q3     |MD    |    3308|
|2018 Q4     |MD    |    3398|
|2019 Q1     |MD    |    3575|
|2019 Q2     |MD    |    3734|
|2019 Q3     |MD    |    3347|
|2019 Q4     |MD    |    3627|
|2020 Q1     |MD    |    3418|
|2020 Q2     |MD    |    3033|
|2020 Q3     |MD    |    3377|
|2020 Q4     |MD    |    3272|
|2021 Q1     |MD    |    3508|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |ME    |    1731|
|2012 Q2     |ME    |    1659|
|2012 Q3     |ME    |    1218|
|2012 Q4     |ME    |      41|
|2013 Q1     |ME    |      20|
|2013 Q2     |ME    |      35|
|2013 Q3     |ME    |      13|
|2013 Q4     |ME    |      14|
|2014 Q1     |ME    |     463|
|2014 Q2     |ME    |     718|
|2014 Q3     |ME    |     731|
|2014 Q4     |ME    |     830|
|2015 Q1     |ME    |     735|
|2015 Q2     |ME    |     819|
|2015 Q3     |ME    |     707|
|2015 Q4     |ME    |     780|
|2016 Q1     |ME    |     851|
