utilization.type,state,year,quarter,suppression,proper_ndc,gennme,prodnme,numberrx,yearQuarter
MCOU,OH,2012,1,F,00069046856,Varenicline,CHANTIX,198,2012
FFSU,WI,2012,4,F,00069046856,Varenicline,CHANTIX,98,2012.75
FFSU,VT,2012,1,F,00069046856,Varenicline,CHANTIX,31,2012
MCOU,MI,2012,3,F,00069046856,Varenicline,CHANTIX,25,2012.5
FFSU,CA,2012,3,F,00069046856,Varenicline,CHANTIX,122,2012.5
FFSU,MO,2012,3,F,00069046856,Varenicline,CHANTIX,41,2012.5
FFSU,WI,2012,2,F,00069046856,Varenicline,CHANTIX,122,2012.25
MCOU,NM,2012,1,F,00069046856,Varenicline,CHANTIX,30,2012
MCOU,AZ,2012,3,F,00069046856,Varenicline,CHANTIX,52,2012.5
FFSU,AZ,2012,1,F,00069046856,Varenicline,CHANTIX,87,2012
MCOU,CA,2012,4,F,00069046856,Varenicline,CHANTIX,44,2012.75
FFSU,CO,2012,4,F,00069046856,Varenicline,CHANTIX,23,2012.75
FFSU,MN,2012,1,F,00069046856,Varenicline,CHANTIX,42,2012
FFSU,CO,2012,1,F,00069046856,Varenicline,CHANTIX,19,2012
MCOU,KY,2012,1,F,00069046856,Varenicline,CHANTIX,37,2012
FFSU,MA,2012,2,F,00069046856,Varenicline,CHANTIX,78,2012.25
FFSU,TN,2012,3,F,00069046856,Varenicline,CHANTIX,38,2012.5
FFSU,CA,2012,4,F,00069046856,Varenicline,CHANTIX,110,2012.75
MCOU,KY,2012,3,F,00069046856,Varenicline,CHANTIX,48,2012.5
MCOU,MI,2012,1,F,00069046856,Varenicline,CHANTIX,44,2012
MCOU,MA,2012,3,F,00069046856,Varenicline,CHANTIX,49,2012.5
FFSU,IL,2012,3,F,00069046856,Varenicline,CHANTIX,94,2012.5
MCOU,NM,2012,4,F,00069046856,Varenicline,CHANTIX,25,2012.75
FFSU,OK,2012,2,F,00069046856,Varenicline,CHANTIX,27,2012.25
FFSU,TX,2012,4,F,00069046856,Varenicline,CHANTIX,14,2012.75
MCOU,DC,2012,1,F,00069046856,Varenicline,CHANTIX,34,2012
MCOU,NM,2012,2,F,00069046856,Varenicline,CHANTIX,47,2012.25
MCOU,OR,2012,2,F,00069046856,Varenicline,CHANTIX,87,2012.25
MCOU,PA,2012,3,F,00069046856,Varenicline,CHANTIX,55,2012.5
FFSU,IL,2012,4,F,00069046856,Varenicline,CHANTIX,50,2012.75
FFSU,OH,2012,3,F,00069046856,Varenicline,CHANTIX,23,2012.5
FFSU,KS,2012,3,F,00069046856,Varenicline,CHANTIX,13,2012.5
FFSU,NC,2012,3,F,00069046856,Varenicline,CHANTIX,118,2012.5
FFSU,MI,2012,3,F,00069046856,Varenicline,CHANTIX,16,2012.5
FFSU,NH,2012,1,F,00069046856,Varenicline,CHANTIX,12,2012
FFSU,CA,2012,1,F,00069046856,Varenicline,CHANTIX,214,2012
MCOU,NJ,2012,2,F,00069046856,Varenicline,CHANTIX,115,2012.25
MCOU,MD,2012,3,F,00069046856,Varenicline,CHANTIX,44,2012.5
FFSU,TX,2012,1,F,00069046856,Varenicline,CHANTIX,111,2012
MCOU,MN,2012,4,F,00069046856,Varenicline,CHANTIX,93,2012.75
FFSU,OK,2012,4,F,00069046856,Varenicline,CHANTIX,33,2012.75
FFSU,IN,2012,1,F,00069046856,Varenicline,CHANTIX,86,2012
FFSU,ME,2012,1,F,00069046856,Varenicline,CHANTIX,631,2012
FFSU,VT,2012,3,F,00069046856,Varenicline,CHANTIX,18,2012.5
FFSU,MI,2012,2,F,00069046856,Varenicline,CHANTIX,20,2012.25
FFSU,MO,2012,2,F,00069046856,Varenicline,CHANTIX,51,2012.25
MCOU,NJ,2012,3,F,00069046856,Varenicline,CHANTIX,61,2012.5
MCOU,VA,2012,4,F,00069046856,Varenicline,CHANTIX,18,2012.75
MCOU,AZ,2012,2,F,00069046856,Varenicline,CHANTIX,68,2012.25
FFSU,CT,2012,4,F,00069046856,Varenicline,CHANTIX,114,2012.75
MCOU,MD,2012,1,F,00069046856,Varenicline,CHANTIX,44,2012
MCOU,DC,2012,2,F,00069046856,Varenicline,CHANTIX,52,2012.25
MCOU,HI,2012,4,F,00069046856,Varenicline,CHANTIX,19,2012.75
FFSU,NY,2012,2,F,00069046856,Varenicline,CHANTIX,96,2012.25
MCOU,VA,2012,2,F,00069046856,Varenicline,CHANTIX,22,2012.25
FFSU,CO,2012,2,F,00069046856,Varenicline,CHANTIX,19,2012.25
FFSU,IN,2012,2,F,00069046856,Varenicline,CHANTIX,83,2012.25
FFSU,VA,2012,2,F,00069046856,Varenicline,CHANTIX,23,2012.25
FFSU,FL,2012,4,F,00069046856,Varenicline,CHANTIX,25,2012.75
FFSU,TX,2012,3,F,00069046856,Varenicline,CHANTIX,16,2012.5
MCOU,NY,2012,4,F,00069046856,Varenicline,CHANTIX,465,2012.75
MCOU,PA,2012,1,F,00069046856,Varenicline,CHANTIX,83,2012
FFSU,ME,2012,3,F,00069046856,Varenicline,CHANTIX,340,2012.5
FFSU,CT,2012,3,F,00069046856,Varenicline,CHANTIX,112,2012.5
FFSU,VT,2012,4,F,00069046856,Varenicline,CHANTIX,37,2012.75
MCOU,DC,2012,4,F,00069046856,Varenicline,CHANTIX,20,2012.75
FFSU,TX,2012,2,F,00069046856,Varenicline,CHANTIX,19,2012.25
FFSU,CT,2012,1,F,00069046856,Varenicline,CHANTIX,107,2012
FFSU,NY,2012,1,F,00069046856,Varenicline,CHANTIX,107,2012
FFSU,CT,2012,2,F,00069046856,Varenicline,CHANTIX,137,2012.25
FFSU,MN,2012,4,F,00069046856,Varenicline,CHANTIX,18,2012.75
FFSU,NC,2012,2,F,00069046856,Varenicline,CHANTIX,124,2012.25
MCOU,LA,2012,4,F,00069046856,Varenicline,CHANTIX,17,2012.75
MCOU,AZ,2012,4,F,00069046856,Varenicline,CHANTIX,131,2012.75
FFSU,NC,2012,1,F,00069046856,Varenicline,CHANTIX,127,2012
MCOU,CA,2012,2,F,00069046856,Varenicline,CHANTIX,75,2012.25
MCOU,FL,2012,4,F,00069046856,Varenicline,CHANTIX,20,2012.75
MCOU,MI,2012,2,F,00069046856,Varenicline,CHANTIX,45,2012.25
FFSU,TN,2012,4,F,00069046856,Varenicline,CHANTIX,30,2012.75
FFSU,IL,2012,1,F,00069046856,Varenicline,CHANTIX,89,2012
MCOU,CA,2012,3,F,00069046856,Varenicline,CHANTIX,49,2012.5
FFSU,PA,2012,1,F,00069046856,Varenicline,CHANTIX,38,2012
FFSU,LA,2012,1,F,00069046856,Varenicline,CHANTIX,78,2012
FFSU,WI,2012,3,F,00069046856,Varenicline,CHANTIX,116,2012.5
FFSU,KS,2012,1,F,00069046856,Varenicline,CHANTIX,20,2012
MCOU,DC,2012,3,F,00069046856,Varenicline,CHANTIX,32,2012.5
FFSU,IN,2012,4,F,00069046856,Varenicline,CHANTIX,70,2012.75
FFSU,NJ,2013,2,F,00069046856,Varenicline,CHANTIX,12,2013.25
FFSU,MA,2013,3,F,00069046856,Varenicline,CHANTIX,78,2013.5
MCOU,NM,2013,2,F,00069046856,Varenicline,CHANTIX,31,2013.25
MCOU,PA,2013,4,F,00069046856,Varenicline,CHANTIX,93,2013.75
FFSU,MD,2013,2,T,00069046856,Varenicline,CHANTIX,0,2013.25
FFSU,NE,2013,4,T,00069046856,Varenicline,CHANTIX,0,2013.75
FFSU,NV,2013,1,T,00069046856,Varenicline,CHANTIX,0,2013
FFSU,DC,2013,2,T,00069046856,Varenicline,CHANTIX,0,2013.25
MCOU,HI,2013,2,T,00069046856,Varenicline,CHANTIX,0,2013.25
FFSU,AK,2013,2,T,00069046856,Varenicline,CHANTIX,0,2013.25
FFSU,WY,2013,3,T,00069046856,Varenicline,CHANTIX,0,2013.5
FFSU,TX,2013,1,T,00069046856,Varenicline,CHANTIX,0,2013
MCOU,UT,2013,3,T,00069046856,Varenicline,CHANTIX,0,2013.5
MCOU,LA,2013,3,T,00069046856,Varenicline,CHANTIX,0,2013.5
FFSU,AR,2013,3,T,00069046856,Varenicline,CHANTIX,0,2013.5
FFSU,NJ,2013,1,T,00069046856,Varenicline,CHANTIX,0,2013
FFSU,RI,2013,3,T,00069046856,Varenicline,CHANTIX,0,2013.5
FFSU,VA,2013,2,T,00069046856,Varenicline,CHANTIX,0,2013.25
FFSU,ME,2013,2,T,00069046856,Varenicline,CHANTIX,0,2013.25
MCOU,IL,2013,1,T,00069046856,Varenicline,CHANTIX,0,2013
MCOU,UT,2013,2,T,00069046856,Varenicline,CHANTIX,0,2013.25
FFSU,KS,2013,1,T,00069046856,Varenicline,CHANTIX,0,2013
FFSU,MT,2013,1,T,00069046856,Varenicline,CHANTIX,0,2013
FFSU,MS,2013,3,T,00069046856,Varenicline,CHANTIX,0,2013.5
FFSU,WA,2013,4,T,00069046856,Varenicline,CHANTIX,0,2013.75
FFSU,MD,2013,1,T,00069046856,Varenicline,CHANTIX,0,2013
MCOU,MN,2013,4,F,00069046856,Varenicline,CHANTIX,92,2013.75
MCOU,NJ,2013,1,F,00069046856,Varenicline,CHANTIX,50,2013
MCOU,VA,2013,3,F,00069046856,Varenicline,CHANTIX,19,2013.5
FFSU,CA,2013,4,F,00069046856,Varenicline,CHANTIX,82,2013.75
MCOU,MA,2013,1,F,00069046856,Varenicline,CHANTIX,81,2013
MCOU,NJ,2013,4,F,00069046856,Varenicline,CHANTIX,45,2013.75
MCOU,KY,2013,2,T,00069046856,Varenicline,CHANTIX,0,2013.25
MCOU,DC,2013,4,F,00069046856,Varenicline,CHANTIX,19,2013.75
FFSU,TN,2013,2,F,00069046856,Varenicline,CHANTIX,54,2013.25
MCOU,PA,2013,2,F,00069046856,Varenicline,CHANTIX,83,2013.25
FFSU,WA,2013,2,T,00069046856,Varenicline,CHANTIX,0,2013.25
MCOU,WA,2013,4,F,00069046856,Varenicline,CHANTIX,41,2013.75
MCOU,OR,2013,3,F,00069046856,Varenicline,CHANTIX,47,2013.5
FFSU,NE,2013,3,T,00069046856,Varenicline,CHANTIX,0,2013.5
MCOU,DC,2013,2,F,00069046856,Varenicline,CHANTIX,24,2013.25
FFSU,UT,2013,3,T,00069046856,Varenicline,CHANTIX,0,2013.5
FFSU,CO,2013,3,F,00069046856,Varenicline,CHANTIX,16,2013.5
FFSU,IN,2013,2,F,00069046856,Varenicline,CHANTIX,83,2013.25
FFSU,OH,2013,3,F,00069046856,Varenicline,CHANTIX,41,2013.5
MCOU,WA,2013,1,F,00069046856,Varenicline,CHANTIX,30,2013
MCOU,KS,2013,3,T,00069046856,Varenicline,CHANTIX,0,2013.5
MCOU,MN,2013,2,F,00069046856,Varenicline,CHANTIX,88,2013.25
MCOU,MS,2013,1,F,00069046856,Varenicline,CHANTIX,14,2013
MCOU,SC,2013,3,T,00069046856,Varenicline,CHANTIX,0,2013.5
MCOU,CA,2013,3,F,00069046856,Varenicline,CHANTIX,38,2013.5
FFSU,CT,2013,3,F,00069046856,Varenicline,CHANTIX,113,2013.5
FFSU,FL,2013,4,F,00069046856,Varenicline,CHANTIX,43,2013.75
FFSU,PA,2013,2,T,00069046856,Varenicline,CHANTIX,0,2013.25
FFSU,OR,2013,4,T,00069046856,Varenicline,CHANTIX,0,2013.75
MCOU,MS,2013,3,T,00069046856,Varenicline,CHANTIX,0,2013.5
FFSU,NV,2013,2,F,00069046856,Varenicline,CHANTIX,12,2013.25
FFSU,WI,2013,2,F,00069046856,Varenicline,CHANTIX,90,2013.25
MCOU,MA,2013,4,F,00069046856,Varenicline,CHANTIX,54,2013.75
FFSU,IA,2013,2,T,00069046856,Varenicline,CHANTIX,0,2013.25
MCOU,MN,2013,3,F,00069046856,Varenicline,CHANTIX,98,2013.5
FFSU,SC,2013,4,T,00069046856,Varenicline,CHANTIX,0,2013.75
FFSU,ID,2013,1,T,00069046856,Varenicline,CHANTIX,0,2013
MCOU,OH,2013,1,F,00069046856,Varenicline,CHANTIX,158,2013
FFSU,MI,2013,1,F,00069046856,Varenicline,CHANTIX,15,2013
MCOU,NY,2013,2,F,00069046856,Varenicline,CHANTIX,525,2013.25
MCOU,VA,2013,2,F,00069046856,Varenicline,CHANTIX,15,2013.25
FFSU,MT,2013,3,T,00069046856,Varenicline,CHANTIX,0,2013.5
FFSU,MA,2013,4,F,00069046856,Varenicline,CHANTIX,56,2013.75
MCOU,OR,2013,4,F,00069046856,Varenicline,CHANTIX,41,2013.75
FFSU,MI,2013,3,F,00069046856,Varenicline,CHANTIX,16,2013.5
FFSU,SD,2013,4,T,00069046856,Varenicline,CHANTIX,0,2013.75
FFSU,MO,2013,2,F,00069046856,Varenicline,CHANTIX,44,2013.25
FFSU,VA,2013,4,T,00069046856,Varenicline,CHANTIX,0,2013.75
MCOU,VA,2013,4,F,00069046856,Varenicline,CHANTIX,24,2013.75
MCOU,HI,2013,1,T,00069046856,Varenicline,CHANTIX,0,2013
MCOU,KY,2013,1,T,00069046856,Varenicline,CHANTIX,0,2013
FFSU,IL,2013,2,F,00069046856,Varenicline,CHANTIX,31,2013.25
FFSU,NE,2013,2,T,00069046856,Varenicline,CHANTIX,0,2013.25
FFSU,DE,2013,4,T,00069046856,Varenicline,CHANTIX,0,2013.75
FFSU,PA,2013,1,T,00069046856,Varenicline,CHANTIX,0,2013
FFSU,OR,2013,3,T,00069046856,Varenicline,CHANTIX,0,2013.5
FFSU,WY,2013,2,T,00069046856,Varenicline,CHANTIX,0,2013.25
FFSU,OH,2013,4,F,00069046856,Varenicline,CHANTIX,43,2013.75
FFSU,NM,2013,3,T,00069046856,Varenicline,CHANTIX,0,2013.5
FFSU,NH,2013,1,T,00069046856,Varenicline,CHANTIX,0,2013
FFSU,ME,2013,1,T,00069046856,Varenicline,CHANTIX,0,2013
MCOU,NM,2013,1,F,00069046856,Varenicline,CHANTIX,34,2013
FFSU,MD,2013,4,T,00069046856,Varenicline,CHANTIX,0,2013.75
FFSU,AR,2013,2,T,00069046856,Varenicline,CHANTIX,0,2013.25
FFSU,NH,2013,2,T,00069046856,Varenicline,CHANTIX,0,2013.25
FFSU,VA,2013,3,T,00069046856,Varenicline,CHANTIX,0,2013.5
