state,total_medicaid_enrollees,total_viii_group_enrollees,total_viii_group_newly_eligible_enrollees,total_viii_group_not_newly_eligible_enrollees,updated_year,updated_month,enrollment_year,enrollment_month,location,notes
West Virginia,534034,163554,163554,0,2020,2,2018,9,"West Virginia
(38.642579, -80.613729)",""
Oregon,947809,451491,375958,75533,2020,2,2018,9,"Oregon
(43.940449, -120.605279)",""
Texas,4254778,"","","",2020,2,2018,9,"Texas
(31.447238, -99.317341)",""
Washington,1759640,561298,547730,13568,2020,2,2018,9,"Washington
(47.411715, -120.592492)",""
New York,6150250,1915271,299091,1616180,2020,2,2018,9,"New York
(42.921241, -75.59655)",""
Iowa,604187,167984,153533,14451,2020,2,2018,9,"Iowa
(42.074659, -93.500061)",""
Guam,36437,4151,"",4151,2020,2,2018,11,"Guam
(13.3532, 144.653198)",""
Alaska,206277,48272,48270,2,2020,2,2018,9,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Massachusetts,1442299,334027,0,334027,2020,2,2019,4,"Massachusetts
(42.151077, -71.481104)",""
Michigan,2420714,687460,633017,54443,2020,2,2018,12,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
South Carolina,1264623,"","","",2020,2,2018,11,"South Carolina
(33.878572, -80.864614)",""
Maryland,1229390,310031,310031,0,2020,2,2019,6,"Maryland
(38.946466, -76.687282)",""
California,12693315,3768859,3762176,6683,2020,2,2019,4,"California
(37.211164, -119.662127)",""
Utah,287277,"","","",2020,2,2019,3,"Utah
(39.323779, -111.678222)",""
Alabama,1025250,"","","",2020,2,2018,9,"Alabama
(32.756889, -86.844516)",""
Maine,257551,8562,8562,0,2020,2,2019,2,"Maine
(45.117911, -69.06137)","Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Arkansas,915127,280923,280441,482,2020,2,2018,7,"Arkansas
(34.899825, -92.439162)",""
Georgia,1962735,"","","",2020,2,2019,6,"Georgia
(32.638481, -83.426574)",""
Colorado,1255515,389270,382110,7160,2020,2,2019,2,"Colorado
(38.998552, -105.547832)",""
Alabama,1030845,"","","",2020,2,2018,10,"Alabama
(32.756889, -86.844516)",""
Pennsylvania,2889531,787158,747021,40137,2020,2,2018,7,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Nevada,594711,212434,212434,0,2020,2,2018,11,"Nevada
(39.283294, -114.916992)",""
Michigan,2385506,671648,625194,46454,2020,2,2019,6,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Florida,3813445,"","","",2020,2,2019,4,"Florida
(28.260731, -82.420978)",""
Dist. Of Col.,260350,107478,66313,41165,2020,2,2019,5,"",""
Totals,74770615,15151153,11945738,3205415,2020,2,2018,12,"",""
Dist. Of Col.,261071,110308,68937,41371,2020,2,2018,7,"",""
Alaska,206870,50050,50046,4,2020,2,2018,12,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Tennessee,1540713,"","","",2020,2,2019,1,"Tennessee
(35.842998, -86.343226)",""
Utah,288842,"","","",2020,2,2019,2,"Utah
(39.323779, -111.678222)",""
Massachusetts,1488230,336784,0,336784,2020,2,2019,3,"Massachusetts
(42.151077, -71.481104)",""
California,12875160,3790254,3790254,0,2020,2,2018,10,"California
(37.211164, -119.662127)",""
Virgin Islands,28835,13376,"",13376,2020,2,2019,5,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Colorado,1267068,398485,391400,7085,2020,2,2018,12,"Colorado
(38.998552, -105.547832)",""
Kentucky,1290860,450566,450566,0,2020,2,2019,2,"Kentucky
(37.526683, -85.290484)",""
North Dakota,91090,20369,19419,950,2020,2,2019,4,"North Dakota
(47.446305, -100.46931)",""
Pennsylvania,2859247,771932,732808,39124,2020,2,2019,5,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Missouri,929322,"","","",2020,2,2018,9,"Missouri
(38.3675, -92.477244)",""
Wisconsin,1182357,"","","",2020,2,2019,6,"Wisconsin
(44.639954, -89.732969)",""
Rhode Island,309924,69330,69330,0,2020,2,2018,8,"Rhode Island
(41.572574, -71.534637)",""
Pennsylvania,2859499,770742,731892,38850,2020,2,2019,2,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Nevada,589856,211069,211069,0,2020,2,2019,1,"Nevada
(39.283294, -114.916992)",""
Mississippi,678243,"","","",2020,2,2018,8,"Mississippi
(32.713378, -89.65344)",""
Florida,3878529,"","","",2020,2,2018,10,"Florida
(28.260731, -82.420978)",""
Rhode Island,301535,66641,66641,0,2020,2,2019,4,"Rhode Island
(41.572574, -71.534637)",""
Puerto Rico,1240935,424284,"",424284,2020,2,2019,4,"Puerto Rico
(18.215692, -66.414655)",""
Totals,75799027,15335170,12058478,3275692,2020,2,2018,10,"",""
Kentucky,1324040,464074,464074,0,2020,2,2018,7,"Kentucky
(37.526683, -85.290484)",""
North Carolina,2179965,"","","",2020,2,2018,7,"North Carolina
(35.52603, -79.130883)",""
Montana,254940,97832,97832,0,2020,2,2018,12,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Rhode Island,300970,66686,66686,0,2020,2,2019,6,"Rhode Island
(41.572574, -71.534637)",""
Illinois,2566110,655276,547918,107358,2020,2,2019,6,"Illinois
(40.124144, -89.148632)",""
Wyoming,54597,"","","",2020,2,2019,3,"Wyoming
(42.999627, -107.55145)",""
Michigan,2434780,686125,626607,59518,2020,2,2018,7,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Oklahoma,640095,"","","",2020,2,2018,12,"Oklahoma
(35.583449, -97.508297)",""
Arizona,1874674,421967,106458,315509,2020,2,2019,1,"Arizona
(34.293239, -111.664616)",""
California,12611814,3741920,3732198,9722,2020,2,2019,5,"California
(37.211164, -119.662127)",""
Idaho,293665,"","","",2020,2,2019,1,"Idaho
(44.389073, -114.659366)",""
Puerto Rico,1217207,402604,"",402604,2020,2,2018,10,"Puerto Rico
(18.215692, -66.414655)",""
Kansas,350174,"","","",2020,2,2019,5,"Kansas
(38.484729, -98.38018)",""
Michigan,2428592,684432,626588,57844,2020,2,2018,10,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Arizona,1876939,426199,107490,318709,2020,2,2019,3,"Arizona
(34.293239, -111.664616)",""
Indiana,1310771,310202,310202,0,2020,2,2019,3,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
New York,6130507,1900628,301942,1598686,2020,2,2019,3,"New York
(42.921241, -75.59655)",""
Virginia,1070855,0,0,0,2020,2,2018,7,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
North Dakota,89590,19908,18981,927,2020,2,2019,5,"North Dakota
(47.446305, -100.46931)",""
North Dakota,92554,20430,19429,1001,2020,2,2018,10,"North Dakota
(47.446305, -100.46931)",""
Minnesota,1097796,202437,201489,948,2020,2,2018,10,"Minnesota
(46.349153, -94.198308)",""
Massachusetts,1742631,346875,0,346875,2020,2,2018,9,"Massachusetts
(42.151077, -71.481104)",""
Texas,4152831,"","","",2020,2,2019,4,"Texas
(31.447238, -99.317341)",""
Washington,1757941,560323,546598,13725,2020,2,2018,10,"Washington
(47.411715, -120.592492)",""
Idaho,303522,"","","",2020,2,2018,10,"Idaho
(44.389073, -114.659366)",""
Totals,76353875,15448246,12137627,3310619,2020,2,2018,7,"",""
Hawaii,313334,112080,20671,91409,2020,2,2019,1,"Hawaii
(21.361013, -157.854309)",""
Nebraska,245121,"","","",2020,2,2019,4,"Nebraska
(41.527099, -99.810595)",""
Texas,4126343,"","","",2020,2,2019,6,"Texas
(31.447238, -99.317341)",""
West Virginia,528207,161508,161508,0,2020,2,2018,11,"West Virginia
(38.642579, -80.613729)",""
Indiana,1320972,302840,302840,0,2020,2,2018,8,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Utah,296817,"","","",2020,2,2018,8,"Utah
(39.323779, -111.678222)",""
Georgia,1945609,"","","",2020,2,2018,12,"Georgia
(32.638481, -83.426574)",""
Illinois,2611653,669227,561633,107594,2020,2,2019,4,"Illinois
(40.124144, -89.148632)",""
Minnesota,1084410,197789,197019,770,2020,2,2019,1,"Minnesota
(46.349153, -94.198308)",""
Montana,260463,98630,98630,0,2020,2,2018,7,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Arizona,1861477,423482,105668,317814,2020,2,2019,6,"Arizona
(34.293239, -111.664616)",""
Rhode Island,308695,69511,69511,0,2020,2,2018,12,"Rhode Island
(41.572574, -71.534637)",""
South Dakota,105275,"","","",2020,2,2018,7,"South Dakota
(44.43614, -100.230491)",""
Florida,3723585,"","","",2020,2,2018,9,"Florida
(28.260731, -82.420978)",""
Louisiana,1654528,494332,494332,0,2020,2,2018,10,"Louisiana
(30.921314, -91.840238)","Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Maryland,1227887,310074,310074,0,2020,2,2019,5,"Maryland
(38.946466, -76.687282)",""
Tennessee,1512716,"","","",2020,2,2018,10,"Tennessee
(35.842998, -86.343226)",""
North Carolina,2181656,"","","",2020,2,2018,11,"North Carolina
(35.52603, -79.130883)",""
New York,6158642,1921610,300259,1621351,2020,2,2018,8,"New York
(42.921241, -75.59655)",""
Iowa,605338,172015,157117,14898,2020,2,2019,5,"Iowa
(42.074659, -93.500061)",""
Oregon,958743,461893,381390,80503,2020,2,2019,3,"Oregon
(43.940449, -120.605279)",""
Ohio,2858429,569651,569360,291,2020,2,2018,12,"Ohio
(40.415534, -82.70936)",""
Alabama,1033902,"","","",2020,2,2019,2,"Alabama
(32.756889, -86.844516)",""
Arkansas,825029,247947,246996,951,2020,2,2019,3,"Arkansas
(34.899825, -92.439162)",""
Vermont,168055,55333,0,55333,2020,2,2019,5,"Vermont
(44.075252, -72.662695)",""
Alabama,1029480,"","","",2020,2,2018,11,"Alabama
(32.756889, -86.844516)",""
Nevada,587603,209747,209747,0,2020,2,2019,3,"Nevada
(39.283294, -114.916992)",""
Maine,250778,0,0,0,2020,2,2018,11,"Maine
(45.117911, -69.06137)","Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
New Jersey,1639444,545379,545379,0,2020,2,2019,2,"New Jersey
(40.110253, -74.655514)",""
N. Mariana Islands,16334,"","","",2020,2,2018,10,"",""
South Dakota,104369,"","","",2020,2,2019,1,"South Dakota
(44.43614, -100.230491)",""
Kansas,341484,"","","",2020,2,2019,6,"Kansas
(38.484729, -98.38018)",""
New York,6067467,1881383,301405,1579978,2020,2,2019,6,"New York
(42.921241, -75.59655)",""
Virgin Islands,27284,12497,"",12497,2020,2,2018,12,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Delaware,219338,62893,9842,53051,2020,2,2019,1,"Delaware
(38.994926, -75.452394)",""
Louisiana,1646050,486291,486291,0,2020,2,2018,8,"Louisiana
(30.921314, -91.840238)","Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
South Carolina,1260731,"","","",2020,2,2019,5,"South Carolina
(33.878572, -80.864614)",""
North Carolina,2162490,"","","",2020,2,2019,3,"North Carolina
(35.52603, -79.130883)",""
New Mexico,834204,258061,258061,0,2020,2,2019,4,"New Mexico
(34.421369, -106.108388)",""
Washington,1766725,566372,552157,14215,2020,2,2018,8,"Washington
(47.411715, -120.592492)",""
Oregon,967100,466729,386673,80056,2020,2,2019,1,"Oregon
(43.940449, -120.605279)",""
Kansas,374444,"","","",2020,2,2018,9,"Kansas
(38.484729, -98.38018)",""
Minnesota,1067388,193550,192684,866,2020,2,2019,2,"Minnesota
(46.349153, -94.198308)",""
Montana,252830,95805,95805,0,2020,2,2019,6,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Vermont,172504,56993,0,56993,2020,2,2018,11,"Vermont
(44.075252, -72.662695)",""
Florida,3790751,"","","",2020,2,2019,2,"Florida
(28.260731, -82.420978)",""
Connecticut,951730,264330,240657,23673,2020,2,2018,12,"Connecticut
(41.575155, -72.738288)",""
Alabama,1019417,"","","",2020,2,2018,7,"Alabama
(32.756889, -86.844516)",""
Colorado,1235646,378962,371819,7143,2020,2,2019,4,"Colorado
(38.998552, -105.547832)",""
Arizona,1873080,414203,106007,308196,2020,2,2018,8,"Arizona
(34.293239, -111.664616)",""
Missouri,903552,"","","",2020,2,2018,11,"Missouri
(38.3675, -92.477244)",""
Georgia,1960778,"","","",2020,2,2019,4,"Georgia
(32.638481, -83.426574)",""
Massachusetts,1455990,336735,0,336735,2020,2,2019,6,"Massachusetts
(42.151077, -71.481104)",""
Nevada,602322,214260,214260,0,2020,2,2018,8,"Nevada
(39.283294, -114.916992)",""
New Jersey,1656601,552053,552053,0,2020,2,2018,12,"New Jersey
(40.110253, -74.655514)",""
Wyoming,55709,"","","",2020,2,2019,4,"Wyoming
(42.999627, -107.55145)",""
Washington,1743962,559930,545495,14435,2020,2,2019,2,"Washington
(47.411715, -120.592492)",""
Arkansas,862562,264626,263881,745,2020,2,2018,11,"Arkansas
(34.899825, -92.439162)",""
Colorado,1300426,411490,404538,6952,2020,2,2018,9,"Colorado
(38.998552, -105.547832)",""
Virgin Islands,27617,12713,12678,12713,2020,2,2019,1,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Delaware,218971,62762,9817,52945,2020,2,2019,3,"Delaware
(38.994926, -75.452394)",""
Wisconsin,1183194,"","","",2020,2,2019,5,"Wisconsin
(44.639954, -89.732969)",""
Kansas,372118,"","","",2020,2,2018,12,"Kansas
(38.484729, -98.38018)",""
Wisconsin,1183431,"","","",2020,2,2019,4,"Wisconsin
(44.639954, -89.732969)",""
New Hampshire,185826,54920,54637,283,2020,2,2018,11,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Kentucky,1292585,449995,449995,0,2020,2,2018,12,"Kentucky
(37.526683, -85.290484)",""
Guam,35692,4193,"",4193,2020,2,2019,5,"Guam
(13.3532, 144.653198)",""
Amer. Samoa,28183,"","","",2020,2,2018,12,"",""
Illinois,2638758,672921,565283,107638,2020,2,2019,2,"Illinois
(40.124144, -89.148632)",""
N. Mariana Islands,16446,"","","",2020,2,2019,5,"",""
Alaska,206088,48735,48732,3,2020,2,2018,10,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
North Dakota,89555,19561,18641,920,2020,2,2019,2,"North Dakota
(47.446305, -100.46931)",""
Virgin Islands,29033,13514,"",13514,2020,2,2019,6,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Hawaii,322003,116486,21627,94859,2020,2,2018,7,"Hawaii
(21.361013, -157.854309)",""
Missouri,881755,"","","",2020,2,2019,3,"Missouri
(38.3675, -92.477244)",""
Iowa,602886,168966,154137,14829,2020,2,2018,11,"Iowa
(42.074659, -93.500061)",""
New York,6153908,1911722,302526,1609196,2020,2,2019,1,"New York
(42.921241, -75.59655)",""
Maryland,1222071,310968,310968,0,2020,2,2019,3,"Maryland
(38.946466, -76.687282)",""
Connecticut,954542,267800,243656,24144,2020,2,2019,3,"Connecticut
(41.575155, -72.738288)",""
California,12724664,3768331,3767510,821,2020,2,2019,2,"California
(37.211164, -119.662127)",""
West Virginia,522211,161875,161875,0,2020,2,2019,5,"West Virginia
(38.642579, -80.613729)",""
Colorado,1288644,409565,402363,7202,2020,2,2018,10,"Colorado
(38.998552, -105.547832)",""
Louisiana,1675222,507789,507789,0,2020,2,2019,2,"Louisiana
(30.921314, -91.840238)","Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Arizona,1875585,417955,106001,311954,2020,2,2018,11,"Arizona
(34.293239, -111.664616)",""
Ohio,2828477,555348,555079,269,2020,2,2019,4,"Ohio
(40.415534, -82.70936)",""
Arizona,1875915,420159,106170,313989,2020,2,2018,12,"Arizona
(34.293239, -111.664616)",""
Wyoming,54259,"","","",2020,2,2019,6,"Wyoming
(42.999627, -107.55145)",""
Oregon,963477,464391,382716,81675,2020,2,2019,5,"Oregon
(43.940449, -120.605279)",""
Puerto Rico,1212621,403672,"",403672,2020,2,2019,2,"Puerto Rico
(18.215692, -66.414655)",""
Illinois,2835995,724881,617626,107255,2020,2,2018,7,"Illinois
(40.124144, -89.148632)",""
New Hampshire,187403,55149,54872,277,2020,2,2018,7,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Montana,257807,98633,98633,0,2020,2,2018,11,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Nebraska,244419,"","","",2020,2,2019,1,"Nebraska
(41.527099, -99.810595)",""
Oklahoma,639764,"","","",2020,2,2019,4,"Oklahoma
(35.583449, -97.508297)",""
Vermont,171269,56793,0,56793,2020,2,2019,1,"Vermont
(44.075252, -72.662695)",""
Michigan,2419259,690711,639880,50831,2020,2,2019,4,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Louisiana,1644548,484602,484602,0,2020,2,2018,7,"Louisiana
(30.921314, -91.840238)","Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
South Dakota,104100,"","","",2020,2,2018,11,"South Dakota
(44.43614, -100.230491)",""
Vermont,169458,55799,0,55799,2020,2,2019,3,"Vermont
(44.075252, -72.662695)",""
Iowa,603260,171270,156133,15137,2020,2,2019,3,"Iowa
(42.074659, -93.500061)",""
New Hampshire,185135,54590,54307,283,2020,2,2019,2,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Connecticut,950722,266719,242640,24079,2020,2,2019,4,"Connecticut
(41.575155, -72.738288)",""
Montana,259669,99148,99148,0,2020,2,2018,10,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Ohio,2900621,586054,585763,291,2020,2,2018,10,"Ohio
(40.415534, -82.70936)",""
Missouri,943536,"","","",2020,2,2018,8,"Missouri
(38.3675, -92.477244)",""
Tennessee,1509553,"","","",2020,2,2018,12,"Tennessee
(35.842998, -86.343226)",""
Texas,4258552,"","","",2020,2,2018,7,"Texas
(31.447238, -99.317341)",""
Virgin Islands,28626,13248,"",13248,2020,2,2019,4,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Guam,35908,4208,"",4208,2020,2,2019,3,"Guam
(13.3532, 144.653198)",""
Hawaii,315744,113064,21058,92006,2020,2,2018,11,"Hawaii
(21.361013, -157.854309)",""
Minnesota,1060628,190089,189186,903,2020,2,2019,5,"Minnesota
(46.349153, -94.198308)",""
Maine,250952,2922,2922,0,2020,2,2019,1,"Maine
(45.117911, -69.06137)","Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Delaware,218326,62429,9542,52887,2020,2,2019,5,"Delaware
(38.994926, -75.452394)",""
Nebraska,243894,"","","",2020,2,2019,5,"Nebraska
(41.527099, -99.810595)",""
Texas,4204185,"","","",2020,2,2019,2,"Texas
(31.447238, -99.317341)",""
Maine,251140,0,0,0,2020,2,2018,10,"Maine
(45.117911, -69.06137)","Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Massachusetts,1701088,334737,0,334737,2020,2,2018,12,"Massachusetts
(42.151077, -71.481104)",""
Virginia,1082925,0,0,0,2020,2,2018,12,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
New Jersey,1667572,552008,552008,0,2020,2,2018,10,"New Jersey
(40.110253, -74.655514)",""
New York,6149602,1911261,300546,1610715,2020,2,2018,11,"New York
(42.921241, -75.59655)",""
Florida,3771711,"","","",2020,2,2019,6,"Florida
(28.260731, -82.420978)",""
Alaska,207050,50745,50742,3,2020,2,2019,2,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Washington,1773278,569954,555955,13999,2020,2,2018,7,"Washington
(47.411715, -120.592492)",""
Missouri,847272,"","","",2020,2,2019,6,"Missouri
(38.3675, -92.477244)",""
Michigan,2443016,697752,645158,52594,2020,2,2019,2,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Mississippi,675003,"","","",2020,2,2019,1,"Mississippi
(32.713378, -89.65344)",""
Kentucky,1288626,449500,449500,0,2020,2,2019,4,"Kentucky
(37.526683, -85.290484)",""
Delaware,218580,62573,9702,52871,2020,2,2018,11,"Delaware
(38.994926, -75.452394)",""
Wisconsin,1184828,"","","",2020,2,2018,8,"Wisconsin
(44.639954, -89.732969)",""
North Carolina,2141148,"","","",2020,2,2019,5,"North Carolina
(35.52603, -79.130883)",""
Oregon,956800,458684,380477,78207,2020,2,2018,11,"Oregon
(43.940449, -120.605279)",""
South Carolina,1269811,"","","",2020,2,2019,3,"South Carolina
(33.878572, -80.864614)",""
Guam,36322,4039,"",4039,2020,2,2018,8,"Guam
(13.3532, 144.653198)",""
Delaware,210857,62684,10040,52644,2020,2,2018,7,"Delaware
(38.994926, -75.452394)",""
Arkansas,825397,250431,249523,908,2020,2,2019,6,"Arkansas
(34.899825, -92.439162)",""
North Carolina,2112241,"","","",2020,2,2019,6,"North Carolina
(35.52603, -79.130883)",""
North Dakota,92213,20185,19193,992,2020,2,2018,7,"North Dakota
(47.446305, -100.46931)",""
"","","","","",2020,2,"","","",""
Oklahoma,637768,"","","",2020,2,2019,3,"Oklahoma
(35.583449, -97.508297)",""
Alabama,1033512,"","","",2020,2,2019,3,"Alabama
(32.756889, -86.844516)",""
West Virginia,524071,161070,161070,0,2020,2,2019,1,"West Virginia
(38.642579, -80.613729)",""
California,12953106,3787702,3787702,0,2020,2,2018,7,"California
(37.211164, -119.662127)",""
Connecticut,941173,254526,232838,21688,2020,2,2018,8,"Connecticut
(41.575155, -72.738288)",""
New Hampshire,184346,54127,53842,285,2020,2,2019,3,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Maryland,1214405,307932,307932,0,2020,2,2018,9,"Maryland
(38.946466, -76.687282)",""
Puerto Rico,1223270,400209,"",400209,2020,2,2018,12,"Puerto Rico
(18.215692, -66.414655)",""
South Carolina,1266260,"","","",2020,2,2018,8,"South Carolina
(33.878572, -80.864614)",""
Arkansas,822617,249308,248377,931,2020,2,2019,5,"Arkansas
(34.899825, -92.439162)",""
Dist. Of Col.,260411,108584,67018,41566,2020,2,2018,10,"",""
Iowa,601388,169454,153747,15707,2020,2,2019,1,"Iowa
(42.074659, -93.500061)",""
Tennessee,1575689,"","","",2020,2,2019,4,"Tennessee
(35.842998, -86.343226)",""
West Virginia,531916,162893,162893,0,2020,2,2018,10,"West Virginia
(38.642579, -80.613729)",""
Idaho,297787,"","","",2020,2,2019,4,"Idaho
(44.389073, -114.659366)",""
Wyoming,56278,"","","",2020,2,2018,12,"Wyoming
(42.999627, -107.55145)",""
Maryland,1218003,308613,308613,0,2020,2,2018,8,"Maryland
(38.946466, -76.687282)",""
Missouri,897164,"","","",2020,2,2018,12,"Missouri
(38.3675, -92.477244)",""
Oklahoma,655330,"","","",2020,2,2018,8,"Oklahoma
(35.583449, -97.508297)",""
Maine,268056,24824,18981,5843,2020,2,2019,5,"Maine
(45.117911, -69.06137)","Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Puerto Rico,1209026,420575,"",420575,2020,2,2019,6,"Puerto Rico
(18.215692, -66.414655)",""
Washington,1759134,564404,550659,13745,2020,2,2018,11,"Washington
(47.411715, -120.592492)",""
Rhode Island,303148,66446,66446,0,2020,2,2019,3,"Rhode Island
(41.572574, -71.534637)",""
Idaho,298258,"","","",2020,2,2019,6,"Idaho
(44.389073, -114.659366)",""
Montana,258991,99706,99706,0,2020,2,2019,2,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Nevada,586808,209695,209695,0,2020,2,2019,6,"Nevada
(39.283294, -114.916992)",""
Florida,3717196,"","","",2020,2,2018,12,"Florida
(28.260731, -82.420978)",""
Wisconsin,1176174,"","","",2020,2,2019,1,"Wisconsin
(44.639954, -89.732969)",""
Wisconsin,1178290,"","","",2020,2,2019,3,"Wisconsin
(44.639954, -89.732969)",""
Louisiana,1649027,493404,493404,0,2020,2,2018,11,"Louisiana
(30.921314, -91.840238)","Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Oregon,960626,458091,383777,74314,2020,2,2018,7,"Oregon
(43.940449, -120.605279)",""
